,segment,label,segment_path,original_path,segment_duration_s,segment_rel_start_ms,fold
0,c29e257b-01b3-4e65-a219-7c952203870b.wav,3,/home/katie/buowset1.1/c29e257b-01b3-4e65-a219-7c952203870b.wav,/mnt/buow/Acoustic_Recordings/2017-2018/2017/Otay/Lonestar/Chickemerge/LS166/A/20170426_150000.wav,0.393,11730106.0,0
1,37dcab2b-9d73-4d13-98e9-4586764e1d75.wav,4,/home/katie/buowset1.1/37dcab2b-9d73-4d13-98e9-4586764e1d75.wav,/mnt/buow/Acoustic_Recordings/2017-2018/2017/Otay/Lonestar/Chickemerge/LS166/A/20170426_150000.wav,0.776,503721.0,0
2,ca33a0ea-f29b-4e0b-a0d2-7f4a417c0f08.wav,4,/home/katie/buowset1.1/ca33a0ea-f29b-4e0b-a0d2-7f4a417c0f08.wav,/mnt/buow/Acoustic_Recordings/2017-2018/2017/Otay/Lonestar/Chickemerge/LS166/A/20170426_150000.wav,2.051,12240069.0,0
3,a44ea2f7-e762-4f27-9c0c-52ccd3398f4f.wav,4,/home/katie/buowset1.1/a44ea2f7-e762-4f27-9c0c-52ccd3398f4f.wav,/mnt/buow/Acoustic_Recordings/2017-2018/2017/Otay/Lonestar/Chickemerge/LS166/A/20170426_150000.wav,2.991,12243740.0,0
4,4f1bef5c-481f-404e-be28-aeaa88ea75dd.wav,4,/home/katie/buowset1.1/4f1bef5c-481f-404e-be28-aeaa88ea75dd.wav,/mnt/buow/Acoustic_Recordings/2017-2018/2017/Otay/Lonestar/Chickemerge/LS166/A/20170426_150000.wav,1.201,9196894.0,0
5,62ae2a8f-7711-434e-8a4f-5f24ac1356bf.wav,4,/home/katie/buowset1.1/62ae2a8f-7711-434e-8a4f-5f24ac1356bf.wav,/mnt/buow/Acoustic_Recordings/2017-2018/2017/Otay/Lonestar/Chickemerge/LS166/A/20170426_150000.wav,0.659,9269457.0,0
6,af3281d2-7c86-4f82-a00f-6cbb47053e7c.wav,4,/home/katie/buowset1.1/af3281d2-7c86-4f82-a00f-6cbb47053e7c.wav,/mnt/buow/Acoustic_Recordings/2017-2018/2017/Otay/Lonestar/Chickemerge/LS166/A/20170426_150000.wav,1.456,15237887.0,0
7,c6af9776-406a-48e1-b44e-ee4eba598703.wav,4,/home/katie/buowset1.1/c6af9776-406a-48e1-b44e-ee4eba598703.wav,/mnt/buow/Acoustic_Recordings/2017-2018/2017/Otay/Lonestar/Chickemerge/LS166/A/20170426_150000.wav,0.553,28359172.0,0
8,db818420-6e61-489d-ba4d-a597ae8e4c5f.wav,4,/home/katie/buowset1.1/db818420-6e61-489d-ba4d-a597ae8e4c5f.wav,/mnt/buow/Acoustic_Recordings/2017-2018/2017/Otay/Lonestar/Chickemerge/LS166/A/20170426_150000.wav,1.509,12431494.0,0
9,3d460632-b686-420c-82ee-7ec02d271b34.wav,4,/home/katie/buowset1.1/3d460632-b686-420c-82ee-7ec02d271b34.wav,/mnt/buow/Acoustic_Recordings/2017-2018/2017/Otay/Lonestar/Chickemerge/LS166/A/20170426_150000.wav,1.371,12148753.0,0
10,d82c5161-e94d-4483-bf2f-360d35a6fd8f.wav,0,/home/katie/buowset1.1/d82c5161-e94d-4483-bf2f-360d35a6fd8f.wav,/mnt/buow/Acoustic_Recordings/2017-2018/2017/Otay/Lonestar/Chickemerge/LS166/A/20170426_150000.wav,0.409,11197831.0,0
